1,2,3,4,5,6,7,8,9,10,11
270,129,225,144,158,262,71,354,111,151,188
265,115,229,138,160,260,44,285,91,149,173
233,91,186,106,145,216,118,260,85,121,233
231,90,184,105,139,204,138,256,83,120,178
286,130,230,151,172,259,59,344,103,155,208
231,90,184,105,139,204,138,256,83,120,178
286,128,241,139,165,264,81,351,112,154,182
265,112,229,128,160,260,44,285,88,146,159
265,112,229,128,160,260,44,285,88,146,159
389,141,300,162,213,321,164,385,112,190,286
361,142,282,165,215,248,66,305,114,192,95
361,142,282,165,215,248,66,305,114,192,169
389,141,300,162,213,321,164,385,112,190,286
361,142,282,165,120,248,66,305,114,192,169
377,140,278,155,196,307,157,393,101,171,254
389,141,300,162,213,321,164,385,112,190,286
379,142,279,154,198,317,69,433,103,170,268
273,99,199,119,146,259,129,302,81,129,188
278,101,198,118,145,256,71,296,80,128,96
273,99,199,119,146,259,129,302,81,129,188
273,99,199,119,146,259,129,302,81,129,188
278,101,198,118,145,256,71,296,80,128,96
348,138,245,162,194,289,99,295,112,168,209
278,101,198,118,145,256,71,296,80,128,96
337,140,247,164,195,287,164,383,127,179,250
147,60,112,72,71,126,96,167,55,84,127
147,61,111,72,72,126,64,168,55,84,126
147,61,111,72,72,126,11,168,55,84,126
147,60,112,72,71,126,96,167,55,84,127
147,60,112,72,71,126,96,167,55,84,127
147,61,111,72,72,126,11,150,55,84,126
370,139,300,181,219,312,189,346,116,188,342
324,138,270,178,220,308,158,275,116,185,318
324,138,270,178,220,308,158,275,116,185,318
370,139,300,181,219,312,189,346,116,188,342
328,138,294,178,220,308,132,329,116,185,271
370,139,300,181,219,312,189,346,116,188,342
370,139,300,181,219,312,189,346,116,188,342
373,138,294,178,220,308,144,349,116,185,325
344,135,257,155,198,295,148,387,117,169,313
352.818,156,311,177,228,328,78,411,144,200,204
342,163,294,182,244,347,219,423,156,223,334
301,139,269,157,197,289,84,388,121,168,318
361,141,275,160,198,308,174,379,111,172,281
354,146,276,162,195,303,99,366,120,174,205
387,128,288,140,210,350,153,234,106,172,296
397,132,292,141,211,358,39,289,107,176,270
305,118,238,149,186,286,163,372,108,156,235
309,119,237,150,185,292,56,384,109,157,191
329,184,268,184,228,298,202,381,175,218,284
310,201,265,209,235,288,173,329,134,214,257
376,155,298,183,253,347,251,418,291,217,326
149,89,174,107,133,194,79,214,65,114,166
319,180,270,181,227,287,204,358,156,213,269
357,230,282,191,259,313,245,441,265,223,388
264,119,238,132,170,253,110,184,95,159,172
359,144,298,167,250,326,240,407,148,189,404
411,174,335,181,295,385,268,459,154,231,418
368,161,306,171,254,351,266,391,154,197,341
325,145,270,169,229,295,210,370,160,191,247
390,146,319,173,256,354,270,446,187,178,354
381,153,318,181,263,354,264,400,59,188,337
369,143,320,172,260,343,267,421,143,184,360
367,157,323,178,267,364,265,390,138,197,366
374,148,304,178,242,363,231,443,142,210,400
329,212,276,213,241,290,187,350,230,208,280
310,212,232,149,202,249,200,322,68,185,326
370,156,304,164,245,341,257,407,209.162,191,348
380,152,316,175,251,351,261,430,209.956,189,343
346,153,280,176,241,319,231,406,189,207,327
348,166,273,181,237,301,205,383,200,205,298
273,145,237,154,204,238,195,282,169,187,247
314,202,259,184,233,285,156,342,167,215,218
279,178,242,178,214,257,160,320,156,207,221
348,166,273,181,237,301,205,383,200,205,298
325,159,270,175,229,295,210,384,193,209,284
329,184,268,184,228,298,202,381,175,218,284
279,178,242,178,214,257,160,320,156,207,221
390,144,306,177,254,351,268,436,205,193,416
298,211,240,195,216,257,159,332,168,211,247
382,323,341,242,282,353,220,426,167,236,391
381,294,339,233,279,347,217,403,160,246,366
327,238,263,205,245,282,186,348,194,212,270
365,148,297,176,249,322,221,390,184,198,280
279,178,242,178,214,257,160,320,171,207,221
393,153,317,169,255,340,260,407,209.162,204,392
407,186,330,178,283,365,266,433,162,215,344
422,155,346,189,289,385,259,468,192,194,313
400,165,345,203,292,371,260,403,115,204,312
407,147,318,175,268,358,249,437,125,196,409
395,158,319,181,263,341,258,387,146,192,357
379,138,299,176,253,340,235,454,186,210,379
468,262,384,95,365,418,27,332,28,136,443
404,226,381,162,372,410,34,343,35,98,435
468,262,384,95,365,418,27,332,28,136,443
404,226,381,162,372,410,34,343,35,98,435
468,262,384,95,365,418,27,332,28,136,443
404,226,381,162,372,410,34,343,35,98,435
287,112,225,133,178,246,98,257,83,156,235
289,127,230,147,193,256,111,294,85,172,236
287,112,225,142,178,246,112,257,83,156,236
289,127,230,147,193,256,111,294,85,172,236
287,112,225,133,178,246,98,257,83,156,236
298,117,230,146,185,268,110,303,83,153,213
284,117,228,138,180,255,98,249,83,149,194
298,117,230,146,185,268,110,303,83,153,213
284,115,228,137,177,255,59,249,83,149,194
298,117,230,146,185,268,110,303,83,153,213
284,115,228,137,177,255,59,268,83,152,194
268,88,199,111,144,229,134,503.698,73,126,194
246,87,198,110,141,209,44,110,73,120,196
268,88,199,111,144,229,134,503.698,73,126,194
246,87,198,110,141,209,44,110,73,120,196
268,88,199,111,144,229,134,503.698,73,126,194
258,87,200,112,141,222,44,110,73,125,196
228,98,197,110,140,209,118,236,75,127,179
246,87,198,110,141,209,44,110,73,120,196
286,144,216,141,161,222,111,441.861,126,150,196
321,151,254,169,200,294,115,441.861,124,182,238
289,127,230,147,193,256,111,294,85,172,236
284,141,249,160,188,269,189,110,115,174,233
242,132,227,152,176,254,153,296,112,155,223
103,48,89,59,71,86,70,134,43,57,109
105,49,92,60,70,86,68,137,44,57,110
172,92,126,82,110,149,114,198,77,108,154
126,64,105,67,83,95,50,112,51,63,145
127,64,105,67,83,98,91,110,51,70,145
126,64,105,67,83,95,50,112,51,63,145
113,56,98,65,70,96,70,133,48,60,120
179,87,158,110,128,127,127,200,78,104,196
126,64,105,67,74,95,50,112,44,70,145
183,88,156,114,130,129,71,203,82,109,201
111,54,86,65,69,96,71,133,47,63,118
127,64,105,67,83,98,91,130,51,70,145
117,47,89,64,73,102,19,129,42,70,126
126,64,105,67,83,95,78,112,51,70,145
