B,G,H,K,L,M,Q,S,T,V,Y
1.53,3.55,78.72,1.66,42.26,8.82,71.56,9.66,1.8,11.41,35.9
2.9,8.37,15.87,3.74,15.62,2.98,10.35,0.66,13.06,2.51,6.12
0.7,29.06,7.16,12.94,10.35,10.82,12.97,1.77,16.26,9.53,10.85
0,14.19,15.17,1.12,13.85,0.74,5.05,0,20.77,3.63,3
0,24.7,0,14.59,7.67,1.11,5.67,0,29.27,15.27,4.14
2.79,18.97,17.1,6.13,9.48,5.34,9.23,1.67,11.4,6.94,7.31
3.1,33.9,18.63,22.1,19.3,10.37,38.5,3.97,17.37,16.63,21.15
1.92,10.8,1.3,17.06,4.93,1.3,2,0.64,30.33,3.27,6.72
1.98,7.33,0.99,21.33,0.98,1.94,3.03,1.96,10.06,1.08,2.97
3.26,20.3,21.85,27.82,6.16,7.31,6.25,0.68,12.85,1.56,10.29
5.06,2.39,0.39,27.88,0.99,3.57,0,3,29.21,4.1,5.92
5.83,28.24,10.36,36.51,5.8,9.64,10.49,2.42,36.86,23.33,10.45
0.19,1.46,0,0.33,0.31,0,1.44,0,3.25,0.53,0
2.12,27.33,16.74,20.44,14.07,8.54,21.15,4.88,10.44,53.54,23.99
4.45,27.25,6.73,37.83,5.28,7.44,3.68,2.32,39.12,11.33,8.24
0,0,5.72,0.33,12.8,8.8,3.48,0,0,0,22.8
0,0,2.33,0.33,1.33,3.09,0.99,0,0.67,0.67,6.84
0,0,0.33,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2
0,0,9.26,0.54,11.44,4.04,2.33,0,0,1.08,22.31
0,0,11.58,0.33,13.96,3.12,3.91,0,13.48,0,23.11
0.05,0.05,5.47,0.05,3.88,3.75,0.7,0.05,0.72,0.05,13.96
0,0,0.67,0,2,2.41,1.99,0,3.12,0,13.6
0,0,1,0,0,0,0.67,0,0,0.99,0.33
0.3,13.21,14.59,11.62,7.98,0.95,16.05,0,0,1.44,13.56
1.66,11.6,12.42,6.73,15.24,1.48,11.54,0.33,0.15,0.43,21.81
0.04,12.76,13.8,5.62,7.99,2.13,17.29,0.04,0.04,7.34,18.99
0.75,15.12,6.3,8.8,10.27,1.65,2.62,0,0.21,1.03,13.44
1.38,23.86,13.58,8.47,7.62,6.28,29.5,1.28,2.08,1.52,13.79
0,13.02,5.63,5.95,4.31,1.92,6.5,0,0,0.66,13.49
0.11,18.29,6.32,6.36,15.2,4.88,10.37,0.42,1.72,6.67,14.77
0,13.7,10.15,8.6,10.86,0.97,12.77,0,0,1.65,19.95
1.18,22.98,10.26,3.32,19.29,1.59,12.11,1.04,2.72,2.08,18.66
0.52,19.64,9.91,6.31,2.94,0,8.57,0,1.57,0.86,12.93
0.35,2.77,0.52,0.09,5.35,0.99,1.88,0,0.73,1.22,4.03
0,122.59,1.44,8.5,3.21,4.29,0,0,12.42,4.04,0
0,123.05,0,9.91,0.01,0,1.72,0,41.27,4.19,0
0,22.52,0,37.17,0,0,0.49,0,29.74,0.87,1.01
5.83,28.38,5.74,34.88,19.98,0.85,4.69,0,58.79,26.57,5.11
0.33,36.31,3.59,23.01,2.04,0,2.54,0,88.43,9.92,0.89
0,11.74,8.08,66.15,20.33,7.67,6.62,0,0.39,18.52,3.46
4.37,16.15,3.75,22.87,3.28,14.32,1.78,0.3,56.39,7.13,4.01
6.34,14.35,4.32,3.36,21.77,4.17,15.4,0,72.28,0.33,5.03
0,52.14,0,1.98,3.24,0,3.22,0,72.94,4.45,0.63
3.41,17.57,4.71,7.43,20.35,0.38,12,0.03,71.79,2.69,3.68
0,65.44,0.67,23.6,7.82,0,5.05,0,64.11,24.42,0
0.29,14.96,0.82,5.33,22.11,0,4.85,0,20.79,21.74,2.31
0.46,14.18,5.5,35.77,8.55,0,9.64,0,7.49,2.65,0.91
0,4.72,0.72,64.38,0.81,1.23,1.17,0,0.61,21.46,0.86
0.66,36.46,2.17,6.12,6.85,0.99,1.42,0.32,47.1,20.05,1.22
7.81,0.71,0.06,35.01,31.03,6.83,14.34,0,0.71,13.29,15.12
1.16,46.95,2.05,16.14,6.18,2.46,2,0,17.09,17.38,5.07
0,17.93,0,31.89,0.67,0,0,0,13.59,2.63,0.33
4.07,32.83,8.27,40.4,4.94,13.17,1.89,0,45.3,5.54,5.57
0,31.36,2.44,3.75,14.82,2.12,7.61,0,116.91,26.37,0
0,50.15,0.67,28.33,11.3,0.63,8.02,0.31,66.36,14.03,0.95
0.62,29.97,10.45,14.65,4.59,1.23,10.75,0.27,103.59,13.25,4.64
0.77,32.39,2.03,25.67,6.46,1.88,5.08,0,113.43,10.91,3.47
0,37.75,0.66,34.54,10.41,1.3,5.64,0,126.38,8.59,1.22
2.14,35.79,2.62,8.16,1.2,0.84,5.84,0.28,88.66,4.75,3.39
0,38.33,5.16,14.34,8.39,0.97,9.85,0,109.68,15.57,1.52
0,54.47,0.7,59.96,12.64,0,9.05,0,86,14.06,0.66
0,19.22,0,102.54,0.54,0,0.42,0.67,43.44,8.02,0.45
1.28,29.84,10.87,74.11,27.92,9.95,19,0,17.51,60.55,1.34
0,10.76,2.34,48.25,0,0,0,0,36.01,0.39,0.6
0.32,23.43,0.48,74.95,2.26,2.27,1.7,0,76.32,1.28,2.59
0,21.71,7.13,86.51,24.99,6.41,8.02,1,4,13.62,5.97
0.68,30.93,2.14,13.62,6.06,0,4.77,0,103.92,12.38,0.98
3.42,7.8,15.76,173.74,13.77,5.85,8.31,0,5.57,37.84,11.28
0,9.65,1.15,2.53,18.94,0.33,3.81,0,44.17,9.73,3.99
1.95,0,4.67,1,0,3,0.99,0,7.02,8.65,0
0.67,21.15,2.23,8.79,25.5,1.33,6.81,0.64,73.94,15.88,3.55
0,26.42,1.93,14.06,13.67,0.96,2.24,0,86.74,10.62,3.35
0.56,10.22,1.46,1.09,31.76,0,3.31,0,72.23,9.85,2.44
0.33,46.51,2.38,28.51,20.6,0.75,0.6,0,54.75,13.69,4.48
1.73,34.16,2.05,5.74,13.45,0.33,4.63,0.29,68.01,13.46,3.39
3.59,0.92,20.75,9.01,18.59,13.04,43.06,6.93,2.04,62.91,8.15
3.34,13.81,8.94,4.33,0,7.66,4.33,0,27.99,29.97,1.67
0.67,20.42,1.5,8.45,14.54,0,0.62,0,56.48,18.55,1.25
2.12,46.72,2.49,11.46,23.15,1.56,6.71,0,53.48,22.27,6
3.1,26.49,5.27,17.95,31.19,1.3,5.12,0,65.37,16.39,14.01
0.86,10.34,1.88,7.43,24.2,1.17,7.61,0.27,51.73,13.8,3.04
2.56,17.53,8.49,26.36,26.3,5.84,10.87,0.29,38.53,14.2,3.15
7.58,3.69,16.67,8.53,32.37,12.43,31.36,1.55,4.78,49.62,8.23
