B,G,H,K,L,M,Q,S,T,V,Y
1.01,20.05,0.6,0.69,23.48,4.16,35.67,0,66.14,0.2,7.04
0.44,12.55,21.25,4.26,11.14,0,9.81,0,66.65,0.02,2.6
1.36,31.97,13.51,3.36,1.72,1.61,6.39,0,92.84,0,4.93
0.33,9.87,16.24,3.2,4.31,0.33,3.51,0,63.57,0.94,1.57
0,9.02,12.27,0.65,0.94,0.33,2,0,45.28,1.3,2.31
0.26,29.33,17.58,6.19,4.88,0.34,7.78,0,68.05,1.7,2.53
0,9.5,7.21,3.45,0,0.33,2.63,0,49.06,0.53,0.4
0,4.6,7.87,0.65,0.41,0.6,2.08,0,31.53,1.33,0.58
2.97,45.62,13.86,7.63,4.7,0.54,6.07,0,83.09,4.37,3.47
0.25,27.39,9.67,12.41,13.15,0.33,2.26,0,25.99,2.19,3
1.2,43.88,11.98,20.72,11.57,0.33,0.78,0,38.19,3.98,5.14
3.2,45.43,15.07,36.93,16.63,4.16,4.39,0,31.7,13.47,8.15
0.68,44.13,21.65,19.29,27.29,0.81,5.87,0,22.07,1.56,9.71
0,12.96,14.46,5.7,3.88,0,1.37,0,13.98,1.38,1.44
1.89,61.51,9.76,23.73,15.93,2.47,2.04,0,53.76,15.72,5.75
0.62,5.83,0,16.32,0.63,13.88,0.3,0.29,48.03,0.94,4.95
1.17,12.15,0,14.64,1.88,12.6,0,0.28,55.27,9.4,5.6
6.86,49.26,23.51,25.69,7.98,7.41,30.1,0,13.91,2.61,13.23
0.34,21.24,16.89,11.24,1.69,1.88,7.26,0,11.84,0,4.96
0.69,24.25,16.35,10.04,1.84,4.25,11.54,0,19.17,1.5,5.18
0,20.22,16.28,13.61,0.58,1.47,5.76,0,8.5,0.9,2.38
0,1.46,3.24,1,1.93,0.33,7.36,0,44.33,1,1.45
1.71,68.72,4.34,5.63,3.52,0,11.98,0,96.15,9.33,5.29
0,14.23,2.08,0.29,0.6,0.31,6.68,0,103.13,4.22,4.01
