,O,D,Sum,market_share,transfort
256,2.0,9.0,0.0,0.88811751,2.0
257,2.0,9.0,0.0,0.88811751,2.0
258,2.0,9.0,0.0,0.88811751,2.0
259,2.0,9.0,0.0,0.88811751,2.0
260,2.0,9.0,0.0,0.88811751,2.0
261,2.0,9.0,0.0,0.88811751,2.0
262,2.0,9.0,0.0,0.88811751,2.0
263,2.0,9.0,0.0,0.88811751,2.0
264,2.0,9.0,0.0,0.88811751,2.0
265,2.0,9.0,2.92,0.88811751,2.0
266,2.0,9.0,0.0,0.88811751,2.0
267,2.0,9.0,0.29,0.88811751,2.0
268,2.0,9.0,0.22000000000000003,0.88811751,2.0
269,2.0,9.0,0.0,0.88811751,2.0
270,2.0,9.0,0.0,0.88811751,2.0
271,2.0,9.0,0.0,0.88811751,2.0
272,2.0,9.0,0.0,0.88811751,2.0
273,2.0,9.0,0.0,0.88811751,2.0
274,2.0,9.0,0.33,0.88811751,2.0
275,2.0,9.0,0.21,0.88811751,2.0
276,2.0,9.0,1.6600000000000001,0.88811751,2.0
277,2.0,9.0,1.1099999999999999,0.88811751,2.0
278,2.0,9.0,0.0,0.88811751,2.0
279,2.0,9.0,0.0,0.88811751,2.0
280,2.0,9.0,0.0,0.88811751,2.0
281,2.0,9.0,0.0,0.88811751,2.0
282,2.0,9.0,0.0,0.88811751,2.0
283,2.0,9.0,0.0,0.88811751,2.0
284,2.0,9.0,0.0,0.88811751,2.0
285,2.0,9.0,0.0,0.88811751,2.0
286,2.0,9.0,0.0,0.88811751,2.0
287,2.0,9.0,0.67,0.88811751,2.0
288,2.0,9.0,0.0,0.88811751,2.0
289,2.0,9.0,0.0,0.88811751,2.0
290,2.0,9.0,0.0,0.88811751,2.0
291,2.0,9.0,0.0,0.88811751,2.0
292,2.0,9.0,0.0,0.88811751,2.0
293,2.0,9.0,0.0,0.88811751,2.0
294,2.0,9.0,0.0,0.88811751,2.0
295,2.0,9.0,0.0,0.88811751,2.0
296,2.0,9.0,0.0,0.88811751,2.0
297,2.0,9.0,0.0,0.88811751,2.0
298,2.0,9.0,0.55,0.88811751,2.0
299,2.0,9.0,0.0,0.88811751,2.0
300,2.0,9.0,0.4,0.88811751,2.0
301,2.0,9.0,0.0,0.88811751,2.0
302,2.0,9.0,0.0,0.88811751,2.0
303,2.0,9.0,0.0,0.88811751,2.0
304,2.0,9.0,0.0,0.88811751,2.0
305,2.0,9.0,0.0,0.88811751,2.0
306,2.0,9.0,0.0,0.88811751,2.0
307,2.0,9.0,0.0,0.88811751,2.0
308,2.0,9.0,0.0,0.88811751,2.0
309,2.0,9.0,0.53,0.88811751,2.0
