,0
250,165.0
251,117.0
252,76.0
253,135.0
254,76.0
255,150.0
256,165.0
257,112.0
258,135.0
259,117.0
260,154.0
261,151.0
262,69.0
263,76.0
264,159.0
265,138.0
266,160.0
267,160.0
268,76.0
269,165.0
270,76.0
271,76.0
272,76.0
273,165.0
274,112.0
275,76.0
276,76.0
277,76.0
278,165.0
279,165.0
280,76.0
281,76.0
282,76.0
283,142.0
284,76.0
285,76.0
286,76.0
287,117.0
288,132.0
289,76.0
290,142.0
291,165.0
292,165.0
293,165.0
294,76.0
295,165.0
296,76.0
297,165.0
298,127.0
299,117.0
300,147.0
301,165.0
302,165.0
303,165.0
304,76.0
305,76.0
306,165.0
307,76.0
308,147.0
309,56.0
310,165.0
311,76.0
312,165.0
313,117.0
314,117.0
315,119.0
316,143.0
317,112.0
318,76.0
319,76.0
320,154.0
321,61.0
322,76.0
323,165.0
324,112.0
325,165.0
326,165.0
327,112.0
328,165.0
329,165.0
330,164.0
331,165.0
332,165.0
333,76.0
334,48.0
335,165.0
336,76.0
337,76.0
338,76.0
339,76.0
340,165.0
341,163.0
342,76.0
343,76.0
344,165.0
345,165.0
346,165.0
347,165.0
348,165.0
349,165.0
350,109.0
351,165.0
352,117.0
353,112.0
354,159.0
355,160.0
356,73.0
357,112.0
358,107.0
359,165.0
360,114.0
361,165.0
362,112.0
363,117.0
364,165.0
365,76.0
366,76.0
367,76.0
368,74.0
369,165.0
370,165.0
371,76.0
372,76.0
373,117.0
374,117.0
375,165.0
376,126.0
377,165.0
378,76.0
379,165.0
380,76.0
381,76.0
382,76.0
383,112.0
384,61.0
385,76.0
386,139.0
387,159.0
388,117.0
389,129.0
390,76.0
391,76.0
392,165.0
393,124.0
394,113.0
395,76.0
396,76.0
397,76.0
398,76.0
399,165.0
400,76.0
401,165.0
402,76.0
403,157.0
404,76.0
405,165.0
406,165.0
407,158.0
408,105.0
409,112.0
410,126.0
411,145.0
412,165.0
413,76.0
414,165.0
415,165.0
416,76.0
417,76.0
418,76.0
419,76.0
420,76.0
421,165.0
422,148.0
423,165.0
424,76.0
425,76.0
426,165.0
427,76.0
428,165.0
429,165.0
430,165.0
431,165.0
432,165.0
433,76.0
434,119.0
435,156.0
436,165.0
437,165.0
438,165.0
439,151.0
440,164.0
441,165.0
442,165.0
443,76.0
444,165.0
445,137.0
446,165.0
447,165.0
448,29.0
449,36.0
450,37.0
451,40.0
452,30.0
453,36.0
454,76.0
455,76.0
456,76.0
457,76.0
458,76.0
459,73.0
460,70.0
461,76.0
462,76.0
463,62.0
464,76.0
465,76.0
466,76.0
467,76.0
468,76.0
469,68.0
470,76.0
471,76.0
472,76.0
473,76.0
474,72.0
475,72.0
476,45.0
477,76.0
478,31.0
479,101.0
480,76.0
481,165.0
482,92.0
483,165.0
484,71.0
485,76.0
486,74.0
487,65.0
488,108.0
489,80.0
490,61.0
491,76.0
492,76.0
493,51.0
494,48.0
495,60.0
496,76.0
497,65.0
498,72.0
499,76.0
500,39.0
501,58.0
502,89.0
503,94.0
504,74.0
505,76.0
506,76.0
507,32.0
508,76.0
509,76.0
510,50.0
511,76.0
512,40.0
513,93.0
514,48.0
515,68.0
516,54.0
517,76.0
518,76.0
519,76.0
520,60.0
521,112.0
522,68.0
523,95.0
524,48.0
525,66.0
526,76.0
527,76.0
528,39.0
529,126.0
530,42.0
531,76.0
